name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Da Nang,2025-04-17T00:00:00,24,24,22.4,90.64,0,0,,0,0,16.6,6.1,220,1010,58.1,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48855099999,VVDN,48852099999,VMW00041024,VMW00041003"
Da Nang,2025-04-17T01:00:00,24.2,24.2,22.1,87.9,0,0,,0,0,16.2,6.5,190,1008.9,34.4,11.4,0,0,0,,Partially cloudy,partly-cloudy-night,"48855099999,VVDN,48852099999,VMW00041024,VMW00041003"
Da Nang,2025-04-17T02:00:00,24,24,22,88.61,0,0,,0,0,15.5,8.7,198,1008,26.4,8,0,0,0,,Partially cloudy,partly-cloudy-night,"48855099999,VVDN,48852099999,VMW00041024,VMW00041003"
Da Nang,2025-04-17T03:00:00,24,24,22.7,92.04,0,0,,0,0,14.8,6.2,180,1008,26.4,8,0,0,0,,Partially cloudy,partly-cloudy-night,"48855099999,VVDN,48852099999,VMW00041024,VMW00041003"
Da Nang,2025-04-17T04:00:00,24.2,24.2,22.9,92.65,0,0,,0,0,14.4,3.8,181,1008.3,34.4,11.2,0,0,0,,Partially cloudy,partly-cloudy-night,"48855099999,VVDN,48852099999,VMW00041024,VMW00041003"
Da Nang,2025-04-17T05:00:00,24,24,23,94.15,0,0,,0,0,14.4,4.3,176,1008,26.4,7.4,0,0,0,,Partially cloudy,partly-cloudy-night,"48855099999,VVDN,48852099999,VMW00041024,VMW00041003"
Da Nang,2025-04-17T06:00:00,24.7,24.7,23,90.69,0,0,,0,0,13.3,3.1,331,1009,26.4,7,8.4,0,0,,Partially cloudy,partly-cloudy-day,"48855099999,VVDN,48852099999,VMW00041024,VMW00041003"
Da Nang,2025-04-17T07:00:00,25.9,25.9,23,83.97,0,0,,0,0,12.2,2.6,522,1009,42.4,11.2,114,0.4,1,,Partially cloudy,partly-cloudy-day,"48855099999,VVDN,48852099999,VMW00041024,VMW00041003"
Da Nang,2025-04-17T08:00:00,27.7,31.1,23.7,78.87,0,0,,0,0,12.6,3.6,638,1009,26.4,8,290.7,1,3,,Partially cloudy,partly-cloudy-day,"48855099999,VVDN,48852099999,VMW00041024,VMW00041003"
Da Nang,2025-04-17T09:00:00,29.7,34.3,23.7,70.24,0,0,,0,0,12.6,5.1,459,1010,26.4,8,500.3,1.8,5,,Partially cloudy,partly-cloudy-day,"48855099999,VVDN,48852099999,VMW00041024,VMW00041003"
Da Nang,2025-04-17T10:00:00,29.8,34.7,23.9,70.37,0,0,,0,0,13,7.7,125,1009.4,42.4,11.2,654.1,2.4,7,,Partially cloudy,partly-cloudy-day,"48855099999,VVDN,48852099999,VMW00041024,VMW00041003"
Da Nang,2025-04-17T11:00:00,29.4,34.3,24,72.87,0,0,,0,0,14.4,7.9,105,1009,26.4,8,828.7,3,8,,Partially cloudy,partly-cloudy-day,"48855099999,VVDN,48852099999,VMW00041024,VMW00041003"
Da Nang,2025-04-17T12:00:00,30,35.2,24,70.29,0,0,,0,0,15.1,10.5,100,1008,26.3,8,893.4,3.2,9,,Partially cloudy,partly-cloudy-day,"48855099999,VVDN,48852099999,VMW00041024,VMW00041003"
Da Nang,2025-04-17T13:00:00,31.5,36.4,23.2,61.47,0,0,,0,0,16.6,11.1,96,1007.2,42.4,12.7,899.6,3.2,9,,Partially cloudy,partly-cloudy-day,"48855099999,VVDN,48852099999,VMW00041024,VMW00041003"
