name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hà Nội, Việt Nam",2025-09-28T00:00:00,27,30.6,25,88.84,1,100,rain,0,0,21.6,11.2,300,1011,0,10,0,0,0,,Rain,rain,"VMI0000VVNB,VVNB"
"Hà Nội, Việt Nam",2025-09-28T01:00:00,27,30.7,25,88.93,0.4,100,rain,0,0,22.7,7.3,318,1010.4,68.4,10.1,0,0,0,,"Rain, Partially cloudy",rain,"VMI0000VVNB,VMM00048823,VMM00048831,VVNB,VMM00048825"
"Hà Nội, Việt Nam",2025-09-28T02:00:00,27,30.6,25,88.84,0.3,100,rain,0,0,22,3.6,639,1010,93.5,10,0,0,0,,"Rain, Overcast",rain,"VMI0000VVNB,VVNB"
"Hà Nội, Việt Nam",2025-09-28T03:00:00,27,30.6,25,88.84,0.2,100,rain,0,0,22.3,9.4,180,1010,93.5,10,0,0,0,,"Rain, Overcast",rain,"VMI0000VVNB,VVNB"
"Hà Nội, Việt Nam",2025-09-28T04:00:00,26.1,26.1,25.2,95,0.3,100,rain,0,0,23.4,3.5,360,1010,93.9,10,0,0,0,,"Rain, Overcast",rain,"VMI0000VVNB,VMM00048823,VVNB,VMM00048825"
"Hà Nội, Việt Nam",2025-09-28T05:00:00,26,26,25,94.23,0.5,100,rain,0,0,27,5.4,290,1010,56.5,10,0,0,0,,"Rain, Partially cloudy",rain,"VMI0000VVNB,VVNB"
"Hà Nội, Việt Nam",2025-09-28T06:00:00,26,26,25,94.23,0.5,100,rain,0,0,29.5,1.8,639,1010,0,5,0.6,0,0,,Rain,rain,"VMI0000VVNB,VVNB"
"Hà Nội, Việt Nam",2025-09-28T07:00:00,26.7,30.2,25.4,92.67,0.3,100,rain,0,0,28.8,7.2,340,1010,21.6,9.2,48.3,0.2,0,,"Rain, Partially cloudy",rain,"VMI0000VVNB,VMM00048823,VMM00048831,VVNB,VMM00048825"
"Hà Nội, Việt Nam",2025-09-28T08:00:00,29,34.5,25,79.06,0.2,100,rain,0,0,34.2,5.4,360,1010,0,10,234.4,0.8,2,,Rain,rain,"VMI0000VVNB,VVNB"
"Hà Nội, Việt Nam",2025-09-28T09:00:00,29,34.5,25,79.06,0.6,100,rain,0,0,38.2,9.4,360,1010,0,10,299.4,1.1,3,,Rain,rain,"VMI0000VVNB,VVNB"
"Hà Nội, Việt Nam",2025-09-28T10:00:00,30.7,37.8,25.4,73.56,0.8,100,rain,0,0,42.8,10.9,338,1010.6,78.8,10,342.5,1.2,3,,"Rain, Partially cloudy",rain,"VMI0000VVNB,VMM00048823,VVNB,VMM00048825"
"Hà Nội, Việt Nam",2025-09-28T11:00:00,31,37.7,25,70.48,1.4,100,rain,0,0,43.9,13,20,1010,89.5,10,71,0.3,1,,"Rain, Partially cloudy",rain,"VMI0000VVNB,VVNB"
"Hà Nội, Việt Nam",2025-09-28T12:00:00,32,39.2,25,66.58,0.6,100,rain,0,0,40.3,14.8,30,1009,89.5,10,413.8,1.5,4,,"Rain, Partially cloudy",rain,"VMI0000VVNB,VVNB"
"Hà Nội, Việt Nam",2025-09-28T13:00:00,26.5,26.5,24.4,88.33,1.3,100,rain,0,0,44.3,13.6,355,1008,87.7,10.1,367.8,1.3,4,,"Rain, Partially cloudy",rain,"VMI0000VVNB,VMM00048823,VMM00048831,VVNB,VMM00048825"
