name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Ho Chi Minh City,2025-12-19T00:00:00,26,26,24,88.76,0,0,,0,0,6.1,3.6,284.2,1010,0,10,0,0,0,,Clear,clear-night,"VMI0000VVTS,VVTS"
Ho Chi Minh City,2025-12-19T01:00:00,26,26,24,89.23,0,0,,0,0,6.8,6.8,310,1010,13.3,7.4,0,0,0,,Clear,clear-night,"VMI0000VVTS,VMM00048894,VVTS"
Ho Chi Minh City,2025-12-19T02:00:00,25,25,21,78.5,0,0,,0,0,7.2,7.6,40,1009,0,10,0,0,0,,Clear,clear-night,"VMI0000VVTS,VVTS"
Ho Chi Minh City,2025-12-19T03:00:00,25,25,22,83.45,0,0,,0,0,6.8,7.6,20,1008,0,10,0,0,0,,Clear,clear-night,"VMI0000VVTS,VVTS"
Ho Chi Minh City,2025-12-19T04:00:00,24.1,24.1,22.2,88.77,0,0,,0,0,9,8.4,30,1009,5.3,11,0,0,0,,Clear,clear-night,"VMI0000VVTS,VMM00048894,VVTS"
Ho Chi Minh City,2025-12-19T05:00:00,24,24,21,83.34,0,0,,0,0,9.7,9.4,20,1009,25,10,0,0,0,,Partially cloudy,partly-cloudy-night,"VMI0000VVTS,VVTS"
Ho Chi Minh City,2025-12-19T06:00:00,24,24,21,83.34,0,0,,0,0,9.7,5.4,40,1009,0,10,0,0,0,,Clear,clear-night,"VMI0000VVTS,VVTS"
Ho Chi Minh City,2025-12-19T07:00:00,25,25,21.1,78.97,0,0,,0,0,11.9,5.2,45,1009.1,8,11,48.6,0.2,0,,Clear,clear-day,"VMI0000VVTS,VMM00048894,VVTS"
Ho Chi Minh City,2025-12-19T08:00:00,27,28.8,21,69.73,0,0,,0,0,14,9.4,60,1010,0,10,225.8,0.8,2,,Clear,clear-day,"VMI0000VVTS,VVTS"
Ho Chi Minh City,2025-12-19T09:00:00,29,31.3,21,62.06,0,0,,0,0,14.4,5.4,10,1010,0,10,441.9,1.6,4,,Clear,clear-day,"VMI0000VVTS,VVTS"
Ho Chi Minh City,2025-12-19T10:00:00,30.8,34.4,22,59.42,0,0,,0,0,13.7,4,50,1010.2,2.7,11,638.6,2.3,6,,Clear,clear-day,"VMI0000VVTS,VMM00048894,VVTS"
Ho Chi Minh City,2025-12-19T11:00:00,32,35.8,22,55.56,0,0,,0,0,13.3,9.4,180,1010,25,10,763.7,2.7,8,,Partially cloudy,partly-cloudy-day,"VMI0000VVTS,VVTS"
Ho Chi Minh City,2025-12-19T12:00:00,32,35.8,22,55.56,0,0,,0,0,13.3,7.6,239.7,1009,60.2,10,785.4,2.8,8,,Partially cloudy,partly-cloudy-day,"VMI0000VVTS,VVTS"
Ho Chi Minh City,2025-12-19T13:00:00,33.8,38.1,22.1,50.36,0,0,,0,0,13.3,10.8,221,1008,47.5,11,707.2,2.5,7,,Partially cloudy,partly-cloudy-day,"VMI0000VVTS,VMM00048894,VVTS"
Ho Chi Minh City,2025-12-19T14:00:00,32,35.8,22,55.56,0,0,,0,0,15.8,11.2,270,1007,88,10,717.3,2.6,7,,Partially cloudy,partly-cloudy-day,"VMI0000VVTS,VVTS"
Ho Chi Minh City,2025-12-19T15:00:00,30,35.1,24,70.29,0,0,,0,0,15.5,13,250,1007,55.3,9,497.4,1.8,5,,Partially cloudy,partly-cloudy-day,"VMI0000VVTS,VVTS"
Ho Chi Minh City,2025-12-19T16:00:00,30.1,34.1,22.9,65.56,0,0,,0,0,14,12.4,178,1007,57.3,11,364.3,1.3,4,,Partially cloudy,partly-cloudy-day,"VMI0000VVTS,VMM00048894,VVTS"
Ho Chi Minh City,2025-12-19T17:00:00,31,34.5,22,58.81,0,0,,0,0,9,13,200,1007,25,10,142.6,0.5,1,,Partially cloudy,partly-cloudy-day,"VMI0000VVTS,VVTS"
Ho Chi Minh City,2025-12-19T18:00:00,29,32,22,65.97,0,0,,0,0,9.4,16.6,180,1008,50,10,14.9,0.1,0,,Partially cloudy,partly-cloudy-night,"VMI0000VVTS,VVTS"
Ho Chi Minh City,2025-12-19T19:00:00,27.9,30.6,22.1,70.55,0,0,,0,0,12.6,13.3,180,1008.1,8,11,0,0,0,,Clear,clear-night,"VMI0000VVTS,VMM00048894,VVTS"
Ho Chi Minh City,2025-12-19T20:00:00,28,31.2,23,74.3,0,0,,0,0,13,11.2,170,1009,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"VMI0000VVTS,VVTS"
