name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Ho Chi Minh City,2024-01-22T00:00:00,27,28.8,21,69.73,0,0,,0,0,16.9,5.4,170,1013,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2024-01-22T01:00:00,26.8,28.3,20.1,66.73,0,0,,0,0,15.5,10.8,126,1013,53,11,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2024-01-22T02:00:00,26,26,21,73.97,0,0,,0,0,12.2,13,130,1012,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2024-01-22T03:00:00,26,26,22,78.64,0,0,,0,0,10.1,13,120,1012,50,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2024-01-22T04:00:00,25,25,21.9,82.71,0,0,,0,0,9.4,8.4,100,1012,51,9.2,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2024-01-22T05:00:00,25,25,22,83.45,0,0,,0,0,10.4,11.2,100,1012,50,8,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2024-01-22T06:00:00,25,25,21,78.5,0,0,,0,0,11.2,9.4,100,1012,50,8,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2024-01-22T07:00:00,25.8,25.8,21,74.7,0,0,,0,0,13.7,6.8,130,1013.1,29.3,11,28.7,0.1,0,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2024-01-22T08:00:00,27,28.2,19,61.61,0,0,,0,0,20.2,13,70,1014,27,10,207.1,0.7,2,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2024-01-22T09:00:00,29,29.8,18,51.5,0,0,,0,0,21.2,14.8,90,1015,27,10,410.8,1.5,4,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2024-01-22T10:00:00,29.9,30.8,18.2,49.38,0,0,,0,0,20.9,10.4,50,1015,32.3,11,611.9,2.2,6,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2024-01-22T11:00:00,32,32.9,18,43.37,0,0,,0,0,20.2,16.6,70,1014,27,10,758.1,2.7,8,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2024-01-22T12:00:00,33,34,18,40.99,0,0,,0,0,20.9,7.6,110,1013,27,10,820.7,3,8,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2024-01-22T13:00:00,33.9,35,18.1,39.33,0,0,,0,0,20.2,7.2,140,1012,40,11,781.1,2.8,8,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2024-01-22T14:00:00,35,36.3,18,36.66,0,0,,0,0,17.3,7.6,70,1011,78.3,10,443.5,1.6,4,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2024-01-22T15:00:00,35,36.3,18,36.66,0,0,,0,0,15.1,7.6,130,1010,27,10,352.7,1.3,4,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2024-01-22T16:00:00,33.9,35.1,18.2,39.34,0,0,,0,0,14.4,5.6,140,1010,27.3,11,384.3,1.4,4,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2024-01-22T17:00:00,33,34.6,19,43.64,0,0,,0,0,12.2,7.6,168.4,1011,27,10,224.4,0.8,2,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2024-01-22T18:00:00,31,31.8,18,45.91,0,0,,0,0,10.1,14.8,180,1011,27,10,41.4,0.1,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2024-01-22T19:00:00,29.8,30.8,18.2,49.73,0,0,,0,0,12.2,7.5,169,1012,30,11,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2024-01-22T20:00:00,29,29.8,18,51.5,0,0,,0,0,16.6,16.6,140,1013,28.1,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2024-01-22T21:00:00,28,29.2,19,58.11,0,0,,0,0,17.3,16.6,140,1014,41.9,10,0,0,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2024-01-22T22:00:00,27.8,29.1,19.3,59.69,0,0,,0,0,17.3,14.9,130,1014,30,11,0,0,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
